USER_ID,EDAD,GENERO,CIUDAD,NOMBRE,APELLIDO,ESTADO_CIVIL,EMAIL,TELEFONO,VIGENCIA_DESDE,VIGENCIA_HASTA,Cedula,MARCA,MODELO,PUERTAS,TIPO,PRECIO,ANO,KILOMETRAJE,PRECIO_POLIZA,CARRO
12,40,FEMENINO,Quibdo,DANIELA,ALONSO,SOLTERO,daniela.alonso08@workmail.com,3151708824,2019-04-06 12:30:00,2024-03-10 04:00:00,77.602.657,Renault,Clio,4,Hatchback,20500000,2015,110168,3025000,Renault Clio 2015
13,40,FEMENINO,Sincelejo,AURORA,VELASCO,CASADO,aurora.velasco98@workmail.com,3014672689,2019-06-27 14:00:00,2024-02-02 09:30:00,67.480.068,Volkswagen,Jetta,4,Sedan,82000000,2014,101832,6100000,Volkswagen Jetta 2014
14,42,MASCULINO,Popayan,SEBASTIAN,GOMEZ,CASADO,sebastian.gomez47@workmail.com,3014547736,2019-02-25 13:00:00,2024-03-01 18:00:00,82.392.037,Kia,Cerato,4,Sedan,68000000,2016,111886,5400000,Kia Cerato 2016
15,45,FEMENINO,Valledupar,ANTONIA,BLANCO,SOLTERO,antonia.blanco77@workmail.com,3186481371,2019-05-31 05:30:00,2024-03-24 21:30:00,82.427.743,Renault,Duster,4,Camioneta,42000000,2014,131599,4100000,Renault Duster 2014
17,39,MASCULINO,Soledad,CRISTIAN,DELGADO,CASADO,cristian.delgado68@workmail.com,3006531517,2019-02-06 14:30:00,2024-04-12 20:00:00,53.856.302,Chevrolet,Aveo,4,Sedan,22500000,2015,67498,3125000,Chevrolet Aveo 2015
18,41,FEMENINO,Soledad,MARIA ANTONIA,PEREZ,CASADO,mariaantonia.perez57@workmail.com,3206984946,2019-05-03 21:00:00,2024-03-12 06:30:00,80.967.875,Ford,Fiesta,4,Hatchback,57500000,2015,99471,4875000,Ford Fiesta 2015
19,24,FEMENINO,Medellin,PILAR,MOYA,SOLTERO,pilar.moya46@workmail.com,3186702505,2019-02-15 00:30:00,2024-06-17 01:30:00,69.676.505,Volkswagen,Jetta,4,Sedan,84000000,2018,52416,6200000,Volkswagen Jetta 2018
20,42,FEMENINO,Cali,MARIA MERCEDES,MORENO,SOLTERO,mariamercedes.moreno38@workmail.com,3201600664,2019-06-12 20:30:00,2024-01-24 23:30:00,60.950.652,Renault,Duster,4,Camioneta,42000000,2014,118647,4100000,Renault Duster 2014
21,46,FEMENINO,Buenaventura,LUISA,SANTANA,CASADO,luisa.santana68@workmail.com,3158549637,2019-04-21 06:00:00,2024-02-21 08:00:00,67.886.800,Volkswagen,Gol,4,Hatchback,30000000,2010,198845,3500000,Volkswagen Gol 2010
22,25,MASCULINO,Villavicencio,RAMON,MENDEZ,SOLTERO,ramon.mendez66@workmail.com,3105840623,2018-12-20 05:00:00,2024-06-12 20:30:00,52.407.777,Ford,Ranger,4,Camioneta,118000000,2016,95878,7900000,Ford Ranger 2016
23,55,MASCULINO,Aguachica,FELIPE,GONZALEZ,SOLTERO,felipe.gonzalez77@workmail.com,3004726826,2019-01-06 01:00:00,2024-05-16 12:00:00,51.440.264,Chevrolet,Aveo,4,Sedan,20000000,2010,148422,3000000,Chevrolet Aveo 2010
24,22,FEMENINO,Cartagena,CARMEN,VARGAS,SOLTERO,carmen.vargas75@workmail.com,3058354998,2019-02-10 19:30:00,2024-01-18 16:00:00,69.133.911,Toyota,Prado,4,Camioneta,237500000,2015,101567,13875000,Toyota Prado 2015
25,22,FEMENINO,Aguachica,ANGELES,NAVARRO,SOLTERO,angeles.navarro06@workmail.com,3204190415,2018-12-20 05:00:00,2024-06-02 08:00:00,68.136.133,Volkswagen,Beetle,4,Hatchback,76000000,2012,140193,5800000,Volkswagen Beetle 2012
26,47,MASCULINO,Manizales,ROBERTO,AGUILAR,SOLTERO,roberto.aguilar05@workmail.com,3001516574,2019-03-29 02:30:00,2024-05-20 17:00:00,78.275.949,Chevrolet,Aveo,4,Sedan,23500000,2017,66444,3175000,Chevrolet Aveo 2017
27,18,MASCULINO,Monteria,JULIAN,RUBIO,SOLTERO,julian.rubio88@workmail.com,3116630390,2019-03-10 04:00:00,2024-03-16 11:30:00,79.595.587,Ford,Escape,4,Camioneta,87000000,2014,104240,6350000,Ford Escape 2014
28,42,FEMENINO,Popayan,BEATRIZ,GIMENEZ,CASADO,beatriz.gimenez67@workmail.com,3117670960,2019-05-18 14:30:00,2024-02-27 15:30:00,78.702.234,Kia,Cerato,4,Sedan,66500000,2013,59925,5325000,Kia Cerato 2013
30,30,FEMENINO,Manizales,CONCEPCION,GONZALEZ,CASADO,concepcion.gonzalez07@workmail.com,3013207721,2019-02-25 13:00:00,2023-12-28 15:00:00,58.440.137,Kia,Rio,4,Hatchback,47500000,2015,115751,4375000,Kia Rio 2015
31,38,MASCULINO,Rionegro,SANTIAGO,ESTEBAN,SOLTERO,santiago.esteban06@workmail.com,3058878890,2019-04-12 20:00:00,2024-03-20 16:30:00,77.998.793,Volkswagen,Jetta,4,Sedan,82500000,2015,120885,6125000,Volkswagen Jetta 2015
32,46,MASCULINO,Manizales,JORDI,IBAÑEZ,CASADO,jordi.ibañez98@workmail.com,3011744544,2019-05-05 23:30:00,2024-02-23 10:30:00,62.734.522,Ford,Escape,4,Camioneta,86000000,2012,182732,6300000,Ford Escape 2012
33,39,MASCULINO,Bucaramanga,IKER,BLANCO,CASADO,iker.blanco27@workmail.com,3202768743,2019-06-27 14:00:00,2024-02-27 15:30:00,84.846.864,Ford,Ranger,4,Camioneta,116500000,2013,111681,7825000,Ford Ranger 2013
34,47,MASCULINO,Sincelejo,ANTONIO,RAMOS,SOLTERO,antonio.ramos16@workmail.com,3015721027,2018-12-16 00:00:00,2024-02-10 19:30:00,62.779.989,Mazda,Seis,4,Sedan,108500000,2017,53331,7425000,Mazda Seis 2017
35,38,MASCULINO,Manizales,GREGORIO,BENITEZ,CASADO,gregorio.benitez97@workmail.com,3007336467,2019-06-23 09:00:00,2024-04-19 03:30:00,87.132.670,Renault,Logan,4,Sedan,41500000,2017,75939,4075000,Renault Logan 2017
36,53,MASCULINO,Valledupar,RAUL,PASCUAL,SOLTERO,raul.pascual05@workmail.com,3186547456,2019-06-10 18:00:00,2024-03-14 09:00:00,80.827.582,Kia,Sorento,4,Camioneta,126500000,2013,157329,8325000,Kia Sorento 2013
37,38,MASCULINO,Armenia,JOSE,RUIZ,CASADO,jose.ruiz55@workmail.com,3154076250,2019-01-14 11:00:00,2024-05-03 21:00:00,56.849.317,Nissan,Frontier,4,Camioneta,69500000,2019,17175,5475000,Nissan Frontier 2019
39,38,FEMENINO,Cucuta,ISABEL,MOYA,SOLTERO,isabel.moya66@workmail.com,3186106604,2019-01-18 16:00:00,2024-05-18 14:30:00,85.440.550,Volkswagen,Amarok,4,Camioneta,91000000,2012,179048,6550000,Volkswagen Amarok 2012
40,35,FEMENINO,Zipaquira,ENCARNACION,TORRES,CASADO,encarnacion.torres86@workmail.com,3051230394,2019-03-14 09:00:00,2024-05-29 03:00:00,76.069.141,Kia,Cerato,4,Sedan,67500000,2015,76097,5375000,Kia Cerato 2015
41,27,FEMENINO,Facatativa,LUISA,GIL,SOLTERO,luisa.gil16@workmail.com,3163099305,2019-04-27 13:30:00,2024-06-06 13:00:00,58.870.645,Ford,Escape,4,Camioneta,88000000,2016,78895,6400000,Ford Escape 2016
42,54,MASCULINO,Valledupar,MIGUEL,HIDALGO,SOLTERO,miguel.hidalgo96@workmail.com,3006483169,2019-04-21 06:00:00,2024-02-04 12:00:00,60.081.422,Ford,Explorer,4,Camioneta,175500000,2011,206092,10775000,Ford Explorer 2011
43,18,FEMENINO,Rionegro,MARGARITA,NIETO,CASADO,margarita.nieto17@workmail.com,3104636597,2019-05-31 05:30:00,2024-04-02 07:30:00,50.043.360,Nissan,X-trail,4,Camioneta,97000000,2014,130327,6850000,Nissan X-trail 2014
44,59,FEMENINO,Turbo,MARIA ANTONIA,VICENTE,SOLTERO,mariaantonia.vicente85@workmail.com,3151457592,2019-05-16 12:00:00,2024-01-06 01:00:00,70.994.667,Renault,Logan,4,Sedan,39000000,2012,105078,3950000,Renault Logan 2012
45,47,FEMENINO,Manizales,SUSANA,CRUZ,SOLTERO,susana.cruz56@workmail.com,3051646826,2019-01-18 16:00:00,2024-06-14 23:00:00,88.908.172,Kia,Sportage,4,Camioneta,86000000,2016,102060,6300000,Kia Sportage 2016
46,56,FEMENINO,Soacha,INES,CRUZ,SOLTERO,ines.cruz46@workmail.com,3108214276,2019-03-18 14:00:00,2024-06-10 18:00:00,55.782.534,Kia,Cerato,4,Sedan,66000000,2012,140538,5300000,Kia Cerato 2012
47,65,MASCULINO,Monteria,IVAN,RAMIREZ,CASADO,ivan.ramirez77@workmail.com,3114025310,2019-01-14 11:00:00,2024-03-24 21:30:00,81.079.139,Kia,Rio,4,Hatchback,48000000,2016,94638,4400000,Kia Rio 2016
48,62,MASCULINO,Uribia,LUCAS,CABRERA,CASADO,lucas.cabrera47@workmail.com,3203065322,2019-05-16 12:00:00,2024-02-10 19:30:00,84.279.657,Kia,Picanto,4,Hatchback,30000000,2014,131950,3500000,Kia Picanto 2014
49,48,MASCULINO,Guadalajara de Buga,SANTIAGO,ARIAS,CASADO,santiago.arias08@workmail.com,3204513293,2019-01-22 21:00:00,2024-05-10 04:30:00,58.730.330,Volkswagen,Golf,4,Hatchback,74000000,2014,110639,5700000,Volkswagen Golf 2014
50,42,FEMENINO,Cerete,ANTONIA,NUÑEZ,SOLTERO,antonia.nuñez58@workmail.com,3005891706,2019-03-22 19:00:00,2024-03-29 02:30:00,66.519.147,Toyota,Prado,4,Camioneta,237500000,2015,102359,13875000,Toyota Prado 2015
52,38,MASCULINO,Monteria,JOSE MARIA,NIETO,SOLTERO,josemaria.nieto07@workmail.com,3207889171,2019-05-18 14:30:00,2024-04-29 16:00:00,52.720.468,Ford,Explorer,4,Camioneta,176500000,2013,148083,10825000,Ford Explorer 2013
53,50,MASCULINO,Riohacha,GREGORIO,NUÑEZ,SOLTERO,gregorio.nuñez48@workmail.com,3006931388,2019-03-10 04:00:00,2024-06-04 10:30:00,88.559.884,Mazda,BT-50,4,Camioneta,8500000,2015,112658,2425000,Mazda BT-50 2015
54,62,MASCULINO,Zipaquira,ISMAEL,ORTIZ,SOLTERO,ismael.ortiz28@workmail.com,3185274933,2019-03-22 19:00:00,2024-01-06 01:00:00,82.958.718,Renault,Sandero,4,Hatchback,38000000,2016,75148,3900000,Renault Sandero 2016
55,48,FEMENINO,Malambo,PAULA,ROMAN,CASADO,paula.roman45@workmail.com,3206804094,2019-03-22 19:00:00,2024-06-08 15:30:00,86.083.537,Volkswagen,Beetle,4,Hatchback,76500000,2013,135962,5825000,Volkswagen Beetle 2013
56,45,FEMENINO,Villa del Rosario,YOLANDA,SAEZ,SOLTERO,yolanda.saez55@workmail.com,3018503753,2019-04-02 07:30:00,2024-02-04 12:00:00,53.844.927,Chevrolet,Aveo,4,Sedan,23500000,2017,64519,3175000,Chevrolet Aveo 2017
57,39,MASCULINO,Palmira,JUAN MANUEL,PASCUAL,CASADO,juanmanuel.pascual85@workmail.com,3156068488,2019-02-27 15:30:00,2024-03-05 23:00:00,56.047.270,Toyota,Fortuner,4,Camioneta,137500000,2015,108040,8875000,Toyota Fortuner 2015
58,44,FEMENINO,Sincelejo,ANA ISABEL,GUTIERREZ,CASADO,anaisabel.gutierrez66@workmail.com,3001947914,2018-12-18 02:30:00,2024-01-08 03:30:00,64.176.862,Toyota,Hilux,4,Camioneta,136500000,2013,192972,8825000,Toyota Hilux 2013
59,36,FEMENINO,Bucaramanga,LUCIA,RUIZ,SOLTERO,lucia.ruiz15@workmail.com,3009811744,2019-01-10 06:00:00,2024-06-27 14:00:00,55.588.806,Renault,Sandero,4,Hatchback,36000000,2012,113852,3800000,Renault Sandero 2012
60,42,FEMENINO,Pereira,ALICIA,REYES,SOLTERO,alicia.reyes66@workmail.com,3152471007,2019-04-10 17:30:00,2024-05-14 09:30:00,79.645.150,Volkswagen,Golf,4,Hatchback,74500000,2015,129469,5725000,Volkswagen Golf 2015
61,46,FEMENINO,Chia,ANGELES,GIL,SOLTERO,angeles.gil66@workmail.com,3201215492,2018-12-24 10:00:00,2024-02-06 14:30:00,64.735.930,Chevrolet,Captiva,4,Camioneta,80000000,2014,125700,6000000,Chevrolet Captiva 2014
62,46,MASCULINO,Valledupar,SAMUEL,RUBIO,CASADO,samuel.rubio28@workmail.com,3111864045,2018-12-30 17:30:00,2024-06-25 11:30:00,68.748.926,Nissan,Sentra,4,Sedan,61500000,2013,190423,5075000,Nissan Sentra 2013
63,30,FEMENINO,Cali,MARIA LUISA,MOLINA,CASADO,marialuisa.molina88@workmail.com,3157234912,2019-02-23 10:30:00,2024-06-27 14:00:00,85.947.714,Kia,Sorento,4,Camioneta,126000000,2012,126798,8300000,Kia Sorento 2012
64,46,MASCULINO,Villa del Rosario,ALBERT,VEGA,SOLTERO,albert.vega66@workmail.com,3164418572,2019-05-20 17:00:00,2024-02-23 10:30:00,61.610.070,Chevrolet,Optra,4,Sedan,25000000,2014,129685,3250000,Chevrolet Optra 2014
65,19,MASCULINO,Valledupar,JOAN,PEREZ,CASADO,joan.perez27@workmail.com,3202383999,2019-03-10 04:00:00,2024-03-22 19:00:00,72.530.377,Volkswagen,Jetta,4,Sedan,83500000,2017,50818,6175000,Volkswagen Jetta 2017
66,58,MASCULINO,Manizales,JAIME,MOLINA,SOLTERO,jaime.molina98@workmail.com,3008169035,2019-04-06 12:30:00,2024-04-04 10:00:00,67.909.253,Kia,Picanto,4,Hatchback,31000000,2016,96526,3550000,Kia Picanto 2016
67,35,FEMENINO,Garzon,MARIA,GUTIERREZ,SOLTERO,maria.gutierrez66@workmail.com,3103424904,2019-05-01 18:30:00,2024-06-08 15:30:00,55.302.837,Toyota,Corolla,4,Sedan,73000000,2012,118446,5650000,Toyota Corolla 2012
68,36,MASCULINO,Valledupar,EDUARDO,SANZ,CASADO,eduardo.sanz06@workmail.com,3161184923,2019-04-04 10:00:00,2024-04-12 20:00:00,70.711.902,Mazda,CX5,4,Camioneta,117500000,2015,86324,7875000,Mazda CX5 2015
69,50,MASCULINO,Pereira,MARC,HERRERO,CASADO,marc.herrero77@workmail.com,3008929151,2019-03-01 18:00:00,2024-05-27 00:30:00,50.505.328,Mazda,Tres,4,Sedan,72000000,2014,125596,5600000,Mazda Tres 2014
70,45,MASCULINO,Valledupar,SAMUEL,AGUILAR,CASADO,samuel.aguilar05@workmail.com,3158123122,2019-02-04 12:00:00,2024-06-17 01:30:00,86.604.372,Kia,Rio,4,Hatchback,47000000,2014,177768,4350000,Kia Rio 2014
71,31,FEMENINO,Valledupar,JULIA,SERRANO,SOLTERO,julia.serrano57@workmail.com,3157760040,2019-06-02 08:00:00,2024-04-21 06:00:00,52.302.282,Nissan,Frontier,4,Camioneta,67000000,2014,147662,5350000,Nissan Frontier 2014
72,50,MASCULINO,Valledupar,EMILIO,DIEZ,CASADO,emilio.diez77@workmail.com,3117188795,2018-12-22 07:30:00,2024-05-03 21:00:00,72.172.632,Renault,Clio,4,Hatchback,19000000,2012,178537,2950000,Renault Clio 2012
73,49,MASCULINO,Neiva,NICOLAS,RAMOS,CASADO,nicolas.ramos96@workmail.com,3008528017,2019-02-02 09:30:00,2023-12-22 07:30:00,89.840.642,Renault,Clio,4,Hatchback,20000000,2014,107075,3000000,Renault Clio 2014
74,53,FEMENINO,Soledad,CARMEN,MENDEZ,SOLTERO,carmen.mendez66@workmail.com,3101580936,2019-01-31 07:00:00,2024-06-10 18:00:00,65.344.596,Kia,Sorento,4,Camioneta,124500000,2009,221740,8225000,Kia Sorento 2009
75,41,FEMENINO,Jamundi,NATALIA,GIMENEZ,SOLTERO,natalia.gimenez67@workmail.com,3017208352,2019-04-29 16:00:00,2024-05-16 12:00:00,83.074.744,Nissan,Pathfinder,4,Camioneta,128500000,2017,69430,8425000,Nissan Pathfinder 2017
76,41,FEMENINO,Soledad,JUANA,HERRERA,CASADO,juana.herrera88@workmail.com,3202935275,2019-02-04 12:00:00,2024-06-04 10:30:00,76.524.818,Mazda,Seis,4,Sedan,108000000,2016,107759,7400000,Mazda Seis 2016
77,49,MASCULINO,Cali,FRANCISCO JAVIER,DURAN,SOLTERO,franciscojavier.duran55@workmail.com,3186549681,2019-03-01 18:00:00,2024-06-02 08:00:00,88.198.856,Ford,EcoSport,4,Camioneta,67000000,2014,114559,5350000,Ford EcoSport 2014
78,34,MASCULINO,Rionegro,JOSE ANGEL,MORA,CASADO,joseangel.mora88@workmail.com,3057804318,2019-05-08 02:00:00,2024-04-29 16:00:00,83.340.294,Nissan,Pathfinder,4,Camioneta,128000000,2016,98741,8400000,Nissan Pathfinder 2016
79,31,FEMENINO,Popayan,MONICA,REYES,CASADO,monica.reyes76@workmail.com,3165915070,2019-06-10 18:00:00,2024-02-10 19:30:00,73.454.364,Kia,Picanto,4,Hatchback,29000000,2012,193027,3450000,Kia Picanto 2012
80,40,MASCULINO,Palmira,MIGUEL ANGEL,IBAÑEZ,CASADO,miguelangel.ibañez88@workmail.com,3055213851,2019-01-12 08:30:00,2024-03-31 05:00:00,52.451.821,Volkswagen,Amarok,4,Camioneta,92500000,2015,64961,6625000,Volkswagen Amarok 2015
81,22,FEMENINO,Cucuta,SANDRA,PASCUAL,SOLTERO,sandra.pascual05@workmail.com,3204419910,2019-02-25 13:00:00,2024-03-03 20:30:00,58.783.571,Mazda,Allegro,4,Sedan,13500000,2017,43950,2675000,Mazda Allegro 2017
82,18,MASCULINO,Neiva,EDUARDO,FERNANDEZ,CASADO,eduardo.fernandez55@workmail.com,3015842239,2019-01-27 02:00:00,2024-03-31 05:00:00,79.179.886,Kia,Picanto,4,Hatchback,30000000,2014,137996,3500000,Kia Picanto 2014
83,39,FEMENINO,Yopal,CARLA,MORENO,SOLTERO,carla.moreno98@workmail.com,3056909781,2018-12-18 02:30:00,2024-01-31 07:00:00,81.805.850,Mazda,Allegro,4,Sedan,15000000,2020,5180,2750000,Mazda Allegro 2020
84,43,MASCULINO,Valledupar,VICTOR MANUEL,MENDEZ,SOLTERO,victormanuel.mendez66@workmail.com,3108296212,2019-06-29 16:30:00,2024-04-08 15:00:00,89.560.159,Volkswagen,Gol,4,Hatchback,32500000,2015,69835,3625000,Volkswagen Gol 2015
85,28,MASCULINO,Soacha,RODRIGO,ORTEGA,SOLTERO,rodrigo.ortega36@workmail.com,3162076332,2019-03-24 21:30:00,2024-02-15 00:30:00,55.358.012,Kia,Sorento,4,Camioneta,127000000,2014,94015,8350000,Kia Sorento 2014
86,59,MASCULINO,Guadalajara de Buga,RAUL,SOTO,CASADO,raul.soto66@workmail.com,3101470263,2019-02-23 10:30:00,2024-04-10 17:30:00,85.039.462,Renault,Twingo,2,Hatchback,20000000,2016,124781,3000000,Renault Twingo 2016
87,42,FEMENINO,Girardot,MARIA LUISA,GARRIDO,SOLTERO,marialuisa.garrido35@workmail.com,3155624956,2019-01-27 02:00:00,2024-01-31 07:00:00,69.111.635,Kia,Sportage,4,Camioneta,84500000,2013,111336,6225000,Kia Sportage 2013
88,50,FEMENINO,Valledupar,CATALINA,RODRIGUEZ,CASADO,catalina.rodriguez66@workmail.com,3111168454,2019-03-12 06:30:00,2023-12-26 12:30:00,54.294.229,Kia,Picanto,4,Hatchback,30500000,2015,158227,3525000,Kia Picanto 2015
89,49,MASCULINO,Popayan,ISMAEL,RODRIGUEZ,CASADO,ismael.rodriguez56@workmail.com,3103150106,2019-01-16 13:30:00,2024-04-19 03:30:00,60.984.756,Volkswagen,Gol,4,Hatchback,32500000,2015,92796,3625000,Volkswagen Gol 2015
90,34,MASCULINO,Cartagena,SALVADOR,FERRER,SOLTERO,salvador.ferrer08@workmail.com,3189034588,2019-01-22 21:00:00,2024-04-02 07:30:00,85.131.440,Mazda,Allegro,4,Sedan,11000000,2012,137474,2550000,Mazda Allegro 2012
91,41,FEMENINO,Ibague,JULIA,DIAZ,SOLTERO,julia.diaz06@workmail.com,3111121366,2018-12-20 05:00:00,2023-12-22 07:30:00,58.055.303,Kia,Sorento,4,Camioneta,128000000,2016,84913,8400000,Kia Sorento 2016
92,44,MASCULINO,Ipiales,JOSE MANUEL,SOTO,CASADO,josemanuel.soto56@workmail.com,3166292424,2019-04-21 06:00:00,2024-02-17 03:00:00,84.240.693,Volkswagen,Gol,4,Hatchback,33500000,2017,57467,3675000,Volkswagen Gol 2017
93,46,MASCULINO,Cali,ALVARO,RUBIO,CASADO,alvaro.rubio28@workmail.com,3167239386,2019-04-23 08:30:00,2023-12-22 07:30:00,66.148.232,Mazda,Seis,4,Sedan,107000000,2014,161540,7350000,Mazda Seis 2014
94,29,FEMENINO,Ipiales,JULIA,CASTRO,CASADO,julia.castro66@workmail.com,3105722554,2019-04-10 17:30:00,2024-01-12 08:30:00,72.248.717,Kia,Sportage,4,Camioneta,85500000,2015,119405,6275000,Kia Sportage 2015
95,43,FEMENINO,Pitalito,NURIA,RUBIO,CASADO,nuria.rubio08@workmail.com,3111665555,2019-05-08 02:00:00,2024-01-22 21:00:00,73.544.841,Kia,Cerato,4,Sedan,66500000,2013,110844,5325000,Kia Cerato 2013
96,50,MASCULINO,Cali,ADRIAN,ALVAREZ,SOLTERO,adrian.alvarez66@workmail.com,3016774967,2019-05-24 22:00:00,2024-01-01 20:00:00,85.031.743,Volkswagen,Jetta,4,Sedan,82500000,2015,101693,6125000,Volkswagen Jetta 2015
97,49,MASCULINO,Buenaventura,FRANCISCO JOSE,DOMINGUEZ,CASADO,franciscojose.dominguez05@workmail.com,3203241429,2019-02-12 22:00:00,2024-02-12 22:00:00,61.082.907,Toyota,Corolla,4,Sedan,75000000,2016,70555,5750000,Toyota Corolla 2016
99,18,FEMENINO,Zipaquira,JULIA,CASTRO,CASADO,julia.castro76@workmail.com,3008614597,2018-12-22 07:30:00,2024-02-19 05:30:00,57.952.413,Mazda,Allegro,4,Sedan,13000000,2016,104563,2650000,Mazda Allegro 2016
100,49,FEMENINO,Lorica,LAURA,ORTEGA,CASADO,laura.ortega36@workmail.com,3001762594,2019-04-06 12:30:00,2023-12-22 07:30:00,85.380.627,Toyota,Hilux,4,Camioneta,137500000,2015,161815,8875000,Toyota Hilux 2015
101,30,FEMENINO,Valledupar,PILAR,GALLARDO,SOLTERO,pilar.gallardo55@workmail.com,3206828409,2018-12-30 17:30:00,2024-03-22 19:00:00,58.029.419,Kia,Picanto,4,Hatchback,30500000,2015,125775,3525000,Kia Picanto 2015
102,42,MASCULINO,Monteria,GONZALO,VICENTE,SOLTERO,gonzalo.vicente15@workmail.com,3051316055,2019-01-08 03:30:00,2024-03-05 23:00:00,71.223.058,Mazda,Seis,4,Sedan,106500000,2013,131151,7325000,Mazda Seis 2013
103,32,MASCULINO,Barranquilla,NICOLAS,CASTRO,SOLTERO,nicolas.castro86@workmail.com,3119708498,2019-02-25 13:00:00,2024-01-03 22:30:00,75.056.706,Mazda,Allegro,4,Sedan,12500000,2015,114051,2625000,Mazda Allegro 2015
104,43,FEMENINO,Cali,EVA MARIA,VICENTE,CASADO,evamaria.vicente85@workmail.com,3105664999,2019-03-20 16:30:00,2023-12-26 12:30:00,76.382.466,Renault,Clio,4,Hatchback,22000000,2018,59929,3100000,Renault Clio 2018
105,33,FEMENINO,Cartago,LAURA,FERNANDEZ,CASADO,laura.fernandez15@workmail.com,3184538996,2019-05-29 03:00:00,2024-06-23 09:00:00,61.013.306,Mazda,BT-50,4,Camioneta,8500000,2015,126993,2425000,Mazda BT-50 2015
106,29,FEMENINO,Bello,DANIELA,PARRA,CASADO,daniela.parra47@workmail.com,3163405918,2019-06-10 18:00:00,2024-06-21 06:30:00,76.309.657,Volkswagen,Amarok,4,Camioneta,91000000,2012,127137,6550000,Volkswagen Amarok 2012
108,38,MASCULINO,nan,GABRIEL,SUAREZ,CASADO,gabriel.suarez97@workmail.com,3203014800,2019-04-19 03:30:00,2024-05-14 09:30:00,88.684.096,Renault,Twingo,2,Hatchback,19000000,2014,124088,2950000,Renault Twingo 2014
109,46,FEMENINO,Soacha,SARA,PASTOR,CASADO,sara.pastor38@workmail.com,3206248813,2019-04-25 11:00:00,2024-05-01 18:30:00,84.947.402,Volkswagen,Gol,4,Hatchback,31000000,2012,209105,3550000,Volkswagen Gol 2012
